clase,fecha,dia,inicio,minutos,periodo,semana,tema,subtema,dba,quiz,taller,tarea,carpeta
001,2026-09-07,lunes,13:00,40,I,02,Plano cartesiano,Coordenadas geográficas (video) y su relación con las coordenadas del plano cartesiano: ubicación en el plano,,,,,clases/semana-02
002,2026-09-14,lunes,13:00,40,I,03,Plano cartesiano,"Sistema de referencia: ejes, cuadrantes, ubicar puntos y figuras (polígonos) en el plano",5,,,x,clases/semana-03
003,2026-09-21,lunes,13:00,40,I,04,Distancia entre dos puntos,La fórmula de la distancia a partir del teorema de Pitágoras,5,,,x,clases/semana-04
004,2026-09-28,lunes,13:00,40,I,05,Distancia entre dos puntos,Punto medio de un segmento; perímetros y clasificación de triángulos en el plano,5,,x,,clases/semana-05
005,2026-10-05,lunes,13:00,40,I,06,Lugares geométricos,Qué es un lugar geométrico: la mediatriz y la circunferencia como puntos a igual distancia,5,x,,x,clases/semana-06
006,2026-10-19,lunes,13:00,40,I,07,La recta,"Pendiente de una recta que pasa por dos puntos; rectas crecientes, decrecientes, horizontales y verticales",5,,,x,clases/semana-07
007,2026-10-26,lunes,13:00,40,I,08,La recta,"Ecuación de la recta: punto-pendiente, pendiente-intercepto y forma general; graficar desde la ecuación",5,,x,,clases/semana-08
008,2026-11-09,lunes,13:00,40,I,10,La recta,Rectas paralelas y perpendiculares; repaso del trimestre,5,x,,x,clases/semana-10
009,2026-11-23,lunes,13:00,40,I,12,Evaluación del periodo,Evaluación del periodo I,5,,,,clases/semana-12
010,2026-12-07,lunes,13:00,40,II,14,,,,,,,clases/semana-14
011,2026-12-14,lunes,13:00,40,II,15,,,,,,,clases/semana-15
012,2026-12-21,lunes,13:00,40,II,16,,,,,,,clases/semana-16
013,2027-01-18,lunes,13:00,40,II,18,,,,,,,clases/semana-18
014,2027-01-25,lunes,13:00,40,II,19,,,,,,,clases/semana-19
015,2027-02-01,lunes,13:00,40,II,20,,,,,,,clases/semana-20
016,2027-02-08,lunes,13:00,40,II,21,,,,,,,clases/semana-21
017,2027-02-15,lunes,13:00,40,II,22,,,,,,,clases/semana-22
018,2027-02-22,lunes,13:00,40,II,23,,,,,,,clases/semana-23
019,2027-03-01,lunes,13:00,40,II,24,,,,,,,clases/semana-24
020,2027-03-08,lunes,13:00,40,II,25,,,,,,,clases/semana-25
021,2027-03-15,lunes,13:00,40,II,26,,,,,,,clases/semana-26
022,2027-03-29,lunes,13:00,40,III,27,,,,,,,clases/semana-27
023,2027-04-05,lunes,13:00,40,III,28,,,,,,,clases/semana-28
024,2027-04-12,lunes,13:00,40,III,29,,,,,,,clases/semana-29
025,2027-04-19,lunes,13:00,40,III,30,,,,,,,clases/semana-30
026,2027-04-26,lunes,13:00,40,III,31,,,,,,,clases/semana-31
027,2027-05-03,lunes,13:00,40,III,32,,,,,,,clases/semana-32
028,2027-05-17,lunes,13:00,40,III,34,,,,,,,clases/semana-34
029,2027-05-24,lunes,13:00,40,III,35,,,,,,,clases/semana-35
